,post_title,post_user,post_firm,post_position,post_text,post_like,post_comment,post_timestamp,post_url,company
0,Walmart labs interview ,🥭admi,/company/Citi/,nan,Can someone give me a rundown of what to expect?i have a hacker rank in 10 days.,1,4,2021-5-22 00:47:08,/post/Walmart-labs-interview-0amFbNbL,Walmart
0,Walmart Labs Offer,MDJq47,/company/Hewlett-Packard-Enterprise/,nan,"Recently received a Walmart Labs PM offer, Bay Area (supply chain tech group) and have a few questions about it. I have 7+ years of experience in operations, strategy consulting (MBB) and now working in product strategy. (Offer base $175K, 20% bonus, $25K sign-on, RSUs)1. Is the PM role in the supply chain team very execution-focused? if yes then does it mean there is less scope strategy or big picture thinking? In such case, I may not get to see the entire lifecycle of building product- product strategy to launch2. I have heard hours can be long 60+ / week but is it true for all supply chain tech product teams? My expectation was around 50 so would love to know more from people on this team3. I am little wary of the culture in team as Walmart did put my visa transfer on hold due to internal restructuring (but its sorted now). Would love to hear more candid experiencesThanks a lot for helping! #product #productmanager #pm",0,15,2021-4-26 00:30:43,/post/Walmart-Labs-Offer-SdZeRteW,Walmart
0,Walmart labs brand ,aYCn02,/company/VMware/,nan,Is Walmart labs a good technical brand in Bay Area ?,0,7,2021-4-17 18:44:42,/post/Walmart-labs-brand-gYvtfoJ6,Walmart
0,Salary range for IN4 in Walmart labs India ,cjxyz,/company/Deloitte/,nan,"Hi all,Can anyone give an idea of what IN4 salary range is in Walmart labs India ?? Would be a great help!!! Thanks",8,35,2021-3-26 09:35:02,/post/Salary-range-for-IN4-in-Walmart-labs-India-nfctkxT8,Walmart
0,Walmart labs pay scale SWE (New Grad),IBMbaba,/company/IBM/,nan,I’m a new grad going into a SWE II position at Walmart in Dallas. When do they do pay increases if it all? Also how much can I expect? What is the typical time line for a promotion? What is the typical pay out for the bonus do they generally do a 100% of it or somewhere in between?Base-71kBonus - pro rated 16%Signing on-6kRSU-10k over 4 years,2,12,2021-5-6 09:11:45,/post/Walmart-labs-pay-scale-SWE-New-Grad-Si2iQpfe,Walmart
0,Walmart Labs APM/PM role,cHAD67,/company/NetApp/,nan,"Hi, I used to see many APM/PM opportunities @walmart 1-2 year ago. I didn't have enough experience back then so could not apply. I don't find such roles in Walmart career page anymore..does anyone know if Walmart labs still hire for APM/Junior PM roles from bangalore location ( Non campus) ? YOE : 4TC :21 LPA#walmart #apm #productmanagement #productmanager #bangalore",0,2,2021-3-15 20:20:17,/post/Walmart-Labs-APMPM-role-jYybDhxs,Walmart
0,"Walmart Labs or Oracle Retail Sciences R&D [Data Scientist, Bengaluru]",ekenway9,/company/American-Express/,nan,"Hi there, I have an offer from Walmart - IN3 Data Scientist role with ad tech data science team. Salary is 25LPA fixed + 5L bonus + 3.75 L stocksSalary offered by Oracle is 24 L fixed + retirals + 8.75L stocks (4 year vesting) (IC3 position)Team in Oracle is fully based out in US (nearly all 4 of them are MIT grads) and I will be the first hire in India. This team is responsible for Data Sciences in Oracle’s product offering for retailers.I’m having a hard time in deciding as Oracle has a better brand value in terms of resume as well as my team itself, but hikes in India are miserable.Please help me with your inputs and suggestions in making a decision. Both positions are based out in Bengaluru, India.YOE: 4; Current TC: 20 LPA",3,13,2021-5-9 12:09:18,/post/Walmart-Labs-or-Oracle-Retail-Sciences-RD-[Data-Scientist-Bengaluru]-4V5UdUEC,Walmart
0,Data scientist job at Walmart labs ,s123c,/company/Serco-Group-plc/,Eng,"Has anyone interviewed for a data scientist role at Walmart Global tech? If yes, can you share a bit of your interview experience. About the rounds, and how it goes?TIA. #datascience #walmartglobaltech",2,2,2021-4-9 22:57:08,/post/Data-scientist-job-at-Walmart-labs-070FMCiP,Walmart
0,RSU vesting/ resignation/ walmart labs India,yaPL54,/company/Walmart/,nan,"Hi, my RSU stock vesting date is March 16. If I resign  on march 3rd will the stock get vested? In walmart labs India notice period is 30 days so on March 16 I would still be employed. Or would they revert vesting on March 16 as I am in notice period?",1,4,2021-3-2 17:51:41,/post/RSU-vesting-resignation-walmart-labs-India-ueFWTkyN,Walmart
0,Oracle or Walmart Labs (Bay Area),🥜TC,/company/Oracle/,nan,"Hi ,I am currently at Oracle (Non OCI) and am looking to interview for Walmart labs . Work is not good at Oracle and it’s way too political. Is it a good idea to switch from Oracle to Walmart labs ? Would like to know work culture at Walmart labs.#walmart #oracleYoe - 2TC - 165k",0,0,2021-3-30 01:09:27,/post/Oracle-or-Walmart-Labs-Bay-Area-ykavpMEm,Walmart
0,Walmart interview experience ,pzkm70,nan,nan,Not sure why the interviewers didn’t turn up thrice and I’m not sure why this happens. The first two interviewers were completely off too. And the HR mentioned ill be interviewing with completely different peeps in the email. At this point I’ve given up hopes 😅,0,3,2021-5-11 18:24:08,/post/Walmart-interview-experience-wkH38UWv,Walmart
0,Walmart Labs interview for Senior Data Scientist,roscato,/company/Walmart/,nan,"Hi folks,I have an upcoming coding round for a Sr. Data Scientific position at WalmartLabs, Sunnyvale. Need help in understanding the format and what to expect.Will it be a hackerrank coding round, any specific topics to prepare?What sources would you recommend for practicing?Thanks in advance!#datascience #interviewquestions #help",0,7,2021-3-4 08:02:36,/post/Walmart-Labs-interview-for-Senior-Data-Scientist-sDG7rdsH,Walmart
