,post_title,post_user,post_firm,post_position,post_text,post_like,post_comment,post_timestamp,post_url,company
0,WayFair Interview,apmb40,nan,nan,"Hi, I am scheduled for Karat interview for WayFair for next week.. I would appreciate any suggestions about coding exercises and topics that need to cover to questions outside of coding exercises.",0,17,2021-5-7 01:58:53,/post/WayFair-Interview-kXsX6zaM,Wayfair
0,Wayfair work experience,yhgtf,/company/Biogen/,nan,Hi Folks. I received an offer from Wayfair for AD role. Wanted to know how the experience of working at Wayfair is in recent past. Heard a lot of good and bad stories. Any insights are helpful!#e-commerce #wayfair ,4,50,2021-5-18 19:46:20,/post/Wayfair-work-experience-x1hvqMYs,Wayfair
0,Wayfair offer evaluation,JnKZp8V3,/company/Cisco/,nan,"Position - Senior Software Engineer (L3), AustinBase 156k, 10%, 800/4 rsu at 270 - 226kCurrent: Base 116k, 15%, 1000rsu at 53 - 186kAny scope to improvement? Joining bonus and/or Rsu?YoE - 7.5---UPDATE:Thank you all for your feedback. I could not get them change the pay numbers but i was offered 30k signing bonus. One of the comments said there is a change in title per new Job family of SWE, I was told all those who get recruited at the current role will be grandfathered from that rule and remain in the same position. New TC: 226k (@270) + 30 = 256k first yearAs of today: 237k (@325) + 30 = 267k first yearI accepted but have a question that the recruiter was not able to answer precisely. Does Wayfair have ESPP, if so what is the discounted price, how its calculated and what is the max contribution?Also I see there is Employee discount - what is this discount value and does it apply only for wayfair.com or other brands of Wayfair?#engineering #software #swe",4,56,2021-5-9 01:27:35,/post/Wayfair-offer-evaluation-ZOzMRYNx,Wayfair
0,Wayfair Interview Guidance ,iw2g2brn,/company/Aetna/,nan,"Got an interview for a Senior Manager non tech role at Wayfair coming up this week.  Already had the interview with the recruiter and hiring manager, this one is supposed to be a panel of sorts focusing on Wayfair Principles.  Anyone have any advice or recommendations? #recruiting #hiring #interview",2,6,2021-4-17 17:51:11,/post/Wayfair-Interview-Guidance-nzLJkRuv,Wayfair
0,Horrible Wayfair interviews,HEsp82,/company/Google/,nan,"So, I had the whole shebang with PM interviews at wayfair over the last 2 weeks.I got a fairly lowball offer in Boston which I'll reject at my leisure BUTThe company seems so shitty. Interviewers called ex-companies assholes, one of them said it's fun working with dumb customers who only shop. Overall, not a good feeling.How's the company culture?Deets: principal pm. TC $270k with $190k base.I have 11 yoe with 3 as PM.#tech #product #productmanagement",0,12,2021-2-27 05:33:38,/post/Horrible-Wayfair-interviews-kAc28KuB,Wayfair
0,Tech stack at Wayfair,gzz235,/company/Bloomberg/,nan,Seems like Wayfair pays really well. Just wanted to see what's the tech stack and engineering culture at Wayfair.#engineering #software #swe,1,27,2021-5-9 16:27:18,/post/Tech-stack-at-Wayfair-pMg3rYdM,Wayfair
0,Wayfair interview Staff Engineer,vLza81,/company/Gigamon/,nan,I have onsite interview coming up. how many coding and system design rounds I can expect. I see people mentioning SQL. Should I emphasize on SQL ?,3,2,2021-5-13 05:45:10,/post/Wayfair-interview-Staff-Engineer-Yt7K1REu,Wayfair
0,Considering wayfair,bigfaker,/company/Standard-Cognition/,nan,How is wayfair as employer? Are there interesting things to do?,0,15,2021-4-29 15:11:06,/post/Considering-wayfair-STvWnvcZ,Wayfair
0,Changing project at Wayfair,cdgtopnp,nan,nan,I am about to join Wayfair soon. My project uses technologies that neither I know nor do I have any interest in learning. A lot of other projects seem really exciting.How hard is it to change a project. Whats the minimum time I need to spend on this project before finding a new team. Can I ask them before joining to consider me for a different proj#wayfair,0,3,2021-5-22 13:35:26,/post/Changing-project-at-Wayfair-dq3Lms4A,Wayfair
0,Wayfair #truerateme,deeznoots,/company/EBSCO/,Eng,"Senpai,Please rate me ^w^155 Base + 15% bonus + 800 RSU ~= 230K TCWhere can I negotiate on these? How much sign-on bonus can I genuinely ask and expect for?Help me Blind Kun.Current TC: NutsYOE: 6 #tech #negotiate #negotiateoffer #e-commerce #tc #wayfair #offer #wayfairEdit: misheard RSU's. Its 800 rsu's, not 500k worth fml",2,14,2021-3-24 23:25:18,/post/Wayfair-truerateme-v0pzQzyG,Wayfair
