,post_title,post_user,post_firm,post_position,post_text,post_like,post_comment,post_timestamp,post_url,company
0,Wells Fargo Layoffs 2020,GPVl47,/company/Wells-Fargo/,nan,Anyone has insights which groups/teams will be impacted?Heard some rumors on some groups having all hands calls regarding significant team restructuring.Any thoughts?,12,61,2020-7-7 21:04:19,/post/Wells-Fargo-Layoffs-2020-QW5LWfBH,Wells-Fargo
0,Wells Fargo Layoffs,crazyhorze,/company/Wells-Fargo/,Finance,Yesterday some groups on the wholesale side were impacted by major layoffs. Anyone have any additional insight on the next round of layoffs which I hear is around the corner?,9,20,2020-10-14 14:37:13,/post/Wells-Fargo-Layoffs-0Oa1jJgR,Wells-Fargo
0,Wells Fargo Bonus,CFA888,/company/Wells-Fargo/,nan,What % of target did you get for bonus? #bonusseason,3,28,2021-1-28 21:55:27,/post/Wells-Fargo-Bonus-VdFVmHeY,Wells-Fargo
0,Wells Fargo?,D.BCooper,/company/American-Express/,nan,I have a 30min screen for an Analytics Consultant 5 position. Is it worth leaving a high paying and easy Amex job for? Do you travel a lot in this position?ThanksEdit: tc 150k,2,15,2019-6-6 17:11:41,/post/Wells-Fargo-7brDSNxQ,Wells-Fargo
0,Working at Wells Fargo,CITQ31,/company/Wells-Fargo/,Finance,Is this the worst bank to work for? I can’t imagine working for a bigger group of idiots than Wells Fargo.,5,31,2018-12-27 02:45:46,/post/Working-at-Wells-Fargo-O3FL18MM,Wells-Fargo
0,10/27 blood bath? How are things at Wells Fargo?,FAmexNG,/company/American-Express/,nan,I read on thelayoff that today was supposed to be massive layoffs at wells fargo?How are things? How are they conducting the layoffs?Thoughts and prayers to those getting laid off.,17,46,2020-10-27 19:35:31,/post/1027-blood-bath-How-are-things-at-Wells-Fargo-hR0yN5RE,Wells-Fargo
0,Wells Fargo Culture ,UdXVmR,/company/Facebook/,nan,I have accounts with Wells Fargo and recently read this article on the NYT about Wells Fargo employees still being pressured to squeeze money out of clients. Is this just typical bank branch culture or is this just Wells Fargo in particular? Thinking of moving my main bank account to Bank of America is it any better?https://www.nytimes.com/2019/03/09/business/wells-fargo-sales-culture.html,4,10,2019-3-11 15:50:00,/post/Wells-Fargo-Culture-PbccATd1,Wells-Fargo
0,Wells Fargo Recruiting ,nyBc20,/company/Bank-of-America/,nan,Does anyone have any advice on getting my resume reviewed by a Wells Fargo recruiter?,0,12,2019-10-30 20:00:02,/post/Wells-Fargo-Recruiting-uAZZJYBc,Wells-Fargo
0,Wells Fargo,sidmaster,/company/Cognizant/,nan,hows web developer 6 role in wells fargo? I have been told that its the highest technical level- is that correct,0,3,2019-10-31 02:24:49,/post/Wells-Fargo-RmFXxJMp,Wells-Fargo
0,Wells Fargo Escrow,jHcb73,/company/Chewy/,Eng,"So I’ve had Wells Fargo for my mortgage for around a year and a half. This month they’re pulling some bullshit claiming they re-evaluated my account and think I have a shortage on my escrow (I don’t whatsoever). I’ve called their customer service 4 times, this last call the rep I spoke with said “yeah, you definitely don’t have a shortage and your payment shouldn’t be adjusting”. I think my property is probably at 20% paid off value by now with the raising property value in my town but I’m sketched out by the fact they require you to pay $550 for a Wells Fargo appraisal of your home. Anyone know if they have any legal obligation to charge the correct amount for my escrow? Right now it looks like I’d end up overpaying by approx. $2000 this year. Still isn’t corrected after that last call (rep said it’d show correct after 24 hours)TL;DR: Wells Fargo sucks and I would highly advise avoiding them at all costs for a first time homeowner mortgage",0,19,2018-10-15 12:10:17,/post/Wells-Fargo-Escrow-aZ1DvMZO,Wells-Fargo
