,post_title,post_user,post_firm,post_position,post_text,post_like,post_comment,post_timestamp,post_url,company
0,Help regarding ebay ,zUwc06,/company/Cerner/,nan,"Hello blinders ,I recently gave onsite interview to ebay . Recruiter reached out to me saying that you got positive feedback in the interview but that position is already filled . Recruiter told me that she will be looking for her other teams if they have any open positions or not . Could I keep hopes on this for offer or should I move on",1,32,2021-5-20 23:30:15,/post/Help-regarding-ebay-XLAE1w47,eBay
0,Zillow vs eBay,zxczxczxc,nan,nan,"I have some offers and came with 2 choices: Zillow and eBay. I'm an iOS developer with 4 YOE, mostly working on Swift. I'm leaning toward Zillow because they are also using Swift and eBay is using Objective-C. Which company do you think is better for an iOS developer?Current TC: 80KZillow: 260K - P3 Fully remote eBay: 280K - SDE3 Seattle (Changed to fully remote like Zillow)Edit: eBay comes back after knowing Zillow offer, eBay also put me to fully remote. Will eBay turns the table here? #zillow #ebay",2,25,2021-5-14 22:08:44,/post/Zillow-vs-eBay-WfRJseMW,eBay
0,eBay ditching Paypal. Why?,OQhs06,/company/Google/,Eng,WHY?Paypal was the very best part of ebay UX.Is eBay committing suicide?,1,23,2021-5-12 22:06:40,/post/eBay-ditching-Paypal-Why-CkDbThp3,eBay
0,eBay MTS1 experiences?,Seattle33,/company/Microsoft/,nan,"What is it like being an MTS1 engineer at eBay? How's the WLB, culture, etc.?Worth joining from Microsoft?180k TC",3,25,2021-4-24 19:48:39,/post/eBay-MTS1-experiences-y0YeJo5N,eBay
0,eBay or TikTok?,omtd70,/company/Capital-One/,nan,"I recently received verbal offers from eBay and TikTok.Don’t have the exact numbers for TC yet, but senior software engineer for eBay and level for TikTok is still unknown.Both roles are in SF Bay Area.I kinda want to proceed with TikTok, because they will likely to offer a much bigger compensation package compared to eBay, but because of all the horrible stories I’ve read here about their WLB, wanted to get your opinion on this.Teams will likely be Billing for eBay and Brand Ads for TikTok.I have a two yr old boy, so WLB is somewhat important. Can anyone from the brand ads team share your WLB experience at your team and how your day to day job looks like?Thank youCurrent TC @ C1 VA office: 150k#swe #ebay #bytedance #tiktok #offer ",2,24,2021-4-10 20:15:34,/post/eBay-or-TikTok-62X3oUxH,eBay
0,eBay L26 PM Offer,hdhuxbd,/company/Amazon/,nan,"Just got an offer from eBay for L26 Product for Bay Area.Base: 210KStock: 55K/yr (220K over 4 years)Bonus: 15%Joining Bonus: 60K over two yearsIs there a room for negotiation? The recruiter said this is already a higher end of L26 offer. But i am not fully convinced with this offer.Thoughts?Current TC: 240K in SeattleYoe: 7, 5 years as PM",1,19,2021-5-6 03:15:33,/post/eBay-L26-PM-Offer-ZNDt8yCm,eBay
0,Blacklisted by Ebay,uKtp05,/company/Comcast/,nan,I had an interview with Ebay and but I couldn't attend because someone Tboned my car. Recruiter asked for rescheduling.I replied but my email bounced back with 554 Error BLACKLISTED.What does this mean?Did the recruiters block me or have I been blacklisted?#ebay #blacklisted,4,15,2021-4-21 02:12:10,/post/Blacklisted-by-Ebay-U71YkovZ,eBay
0, ebay offer review,loserpool,/company/Cisco/,nan,"Current TC: 162k (G8)eBay offer - Bay Area -SE3, L24-155k-80k/4-10%~190k No sign onWhat should I negotiate on? Base seems about right from my research.Lowball? What're the typical RSUs or sign-ons for this level and position at eBay?YoE - 5",2,9,2021-5-3 18:26:15,/post/ebay-offer-review-dLkm2hRz,eBay
0,Why is there hiring surge at eBay ,notAtFang,/company/UBS/,nan,I see lots of hiring happening at eBay. Why are they hiring so much? Do they have long term vision to keep company afloat and make profit to afford so many people? Or is it because they have pandemic money and once they run out of money after pandemic they will start firing??,4,11,2021-5-19 22:35:22,/post/Why-is-there-hiring-surge-at-eBay-s0joMj2T,eBay
0,eBay vs ServiceNow,four-o-f,/company/VMware/,nan,"I have MTS-1 offer from eBay payments, San Jose and similar from ServiceNow, Santa Clara. Tc almost same for both ~220k.My commute time would be less for eBay. Weigh in your recommendations.Yoe- 3.5 US, 3.5 IndiaCurrent tc- 🥜🥜🥜",0,15,2021-3-12 19:08:51,/post/eBay-vs-ServiceNow-bwRXk6RT,eBay
